task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
7659	SUBSAMPLE_ALIGNMENT (OM477298.1)	COMPLETED	0	110ms	29.1%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.4 KB	30.3 KB
7661	SUBSAMPLE_ALIGNMENT (OM024319.1)	COMPLETED	0	85ms	32.7%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7658	SUBSAMPLE_ALIGNMENT (MZ531099.1)	COMPLETED	0	201ms	23.1%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.3 KB	30.2 KB
7663	SUBSAMPLE_ALIGNMENT (OD938674.1)	COMPLETED	0	119ms	42.1%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7662	SUBSAMPLE_ALIGNMENT (OL706521.1)	COMPLETED	0	346ms	25.9%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.3 KB
7665	SUBSAMPLE_ALIGNMENT (BS003145.1)	COMPLETED	0	301ms	24.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7664	SUBSAMPLE_ALIGNMENT (OD960442.1)	COMPLETED	0	263ms	15.4%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7666	SUBSAMPLE_ALIGNMENT (OM119787.1)	COMPLETED	0	154ms	35.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7667	SUBSAMPLE_ALIGNMENT (OA997853.1)	COMPLETED	0	145ms	28.6%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7668	SUBSAMPLE_ALIGNMENT (OL940001.1)	COMPLETED	0	130ms	22.9%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7669	SUBSAMPLE_ALIGNMENT (OL875535.1)	COMPLETED	0	120ms	25.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7670	SUBSAMPLE_ALIGNMENT (OL953761.1)	COMPLETED	0	89ms	48.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7672	SUBSAMPLE_ALIGNMENT (OD939486.1)	COMPLETED	0	284ms	23.4%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7673	SUBSAMPLE_ALIGNMENT (ON131794.1)	COMPLETED	0	237ms	25.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7671	SUBSAMPLE_ALIGNMENT (OM123052.1)	COMPLETED	0	329ms	27.6%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.3 KB	30.2 KB
7674	SUBSAMPLE_ALIGNMENT (OD944179.1)	COMPLETED	0	96ms	32.7%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7676	SUBSAMPLE_ALIGNMENT (MW725630.1)	COMPLETED	0	135ms	41.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7675	SUBSAMPLE_ALIGNMENT (MW666281.1)	COMPLETED	0	202ms	26.2%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.2 KB
7677	SUBSAMPLE_ALIGNMENT (OM011904.1)	COMPLETED	0	229ms	16.8%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7678	SUBSAMPLE_ALIGNMENT (MZ207573.1)	COMPLETED	0	133ms	21.1%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7679	SUBSAMPLE_ALIGNMENT (OM915524.1)	COMPLETED	0	160ms	35.4%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.4 KB	30.2 KB
7681	SUBSAMPLE_ALIGNMENT (MZ022148.1)	COMPLETED	0	91ms	48.8%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.3 KB
7680	SUBSAMPLE_ALIGNMENT (OL889559.1)	COMPLETED	0	83ms	44.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7682	SUBSAMPLE_ALIGNMENT (OM271152.1)	COMPLETED	0	82ms	54.5%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.3 KB	30.2 KB
7683	SUBSAMPLE_ALIGNMENT (ON290469.1)	COMPLETED	0	100ms	40.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
7684	SUBSAMPLE_ALIGNMENT (ON432924.1)	COMPLETED	0	245ms	26.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
7685	SUBSAMPLE_ALIGNMENT (OM461794.1)	COMPLETED	0	100ms	36.4%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.3 KB	30.2 KB
7686	SUBSAMPLE_ALIGNMENT (MZ193321.1)	COMPLETED	0	138ms	29.0%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7688	SUBSAMPLE_ALIGNMENT (OM173193.1)	COMPLETED	0	252ms	25.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7689	SUBSAMPLE_ALIGNMENT (OM432356.1)	COMPLETED	0	121ms	35.7%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7690	SUBSAMPLE_ALIGNMENT (MZ257999.1)	COMPLETED	0	94ms	46.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7691	SUBSAMPLE_ALIGNMENT (OM017397.1)	COMPLETED	0	169ms	23.0%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7692	SUBSAMPLE_ALIGNMENT (OM335358.1)	COMPLETED	0	92ms	48.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7694	SUBSAMPLE_ALIGNMENT (MW975831.1)	COMPLETED	0	144ms	32.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7693	SUBSAMPLE_ALIGNMENT (MZ472082.1)	COMPLETED	0	178ms	22.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7696	SUBSAMPLE_ALIGNMENT (OM488347.1)	COMPLETED	0	129ms	31.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7698	SUBSAMPLE_ALIGNMENT (OD980862.1)	COMPLETED	0	163ms	20.3%	0.1%	2.9 MB	5.6 MB	2.9 MB	5.6 MB	98.5 KB	30.4 KB
7695	SUBSAMPLE_VARIANT_CALLING (MW884221.1)	COMPLETED	0	1s	55.2%	0.2%	6.5 MB	11.4 MB	6.5 MB	11.5 MB	1.4 MB	16.6 KB
7699	SUBSAMPLE_ALIGNMENT (OD949816.1)	COMPLETED	0	156ms	19.3%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7697	SUBSAMPLE_VARIANT_CALLING (OD898702.1)	COMPLETED	0	1.1s	46.8%	0.2%	6.5 MB	11.4 MB	6.5 MB	11.5 MB	1.4 MB	18.6 KB
7700	SUBSAMPLE_ALIGNMENT (ON189090.1)	COMPLETED	0	158ms	20.3%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7701	SUBSAMPLE_ALIGNMENT (ON572324.1)	COMPLETED	0	126ms	39.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7702	SUBSAMPLE_ALIGNMENT (OL709512.1)	COMPLETED	0	215ms	35.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7703	SUBSAMPLE_ALIGNMENT (OU475599.1)	COMPLETED	0	119ms	40.7%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7705	SUBSAMPLE_ALIGNMENT (MZ194522.1)	COMPLETED	0	106ms	30.2%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7704	SUBSAMPLE_ALIGNMENT (OM099164.1)	COMPLETED	0	118ms	25.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7706	SUBSAMPLE_ALIGNMENT (OW479787.1)	COMPLETED	0	222ms	19.8%	0.1%	3.3 MB	5.6 MB	3.3 MB	5.6 MB	98.5 KB	30.4 KB
7707	SUBSAMPLE_ALIGNMENT (OD944365.1)	COMPLETED	0	110ms	38.5%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7708	SUBSAMPLE_ALIGNMENT (ON001035.1)	COMPLETED	0	165ms	27.0%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7709	SUBSAMPLE_ALIGNMENT (OM356193.1)	COMPLETED	0	144ms	31.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
