sample,distance,date,day,lineage
OD967055-1,35,2021-01-28,151,B.1.1.7
OD967059-1,34,2021-01-28,151,B.1.1.7
OD967734-1,22,2021-01-29,152,B.1.177.10
OD968090-1,34,2021-01-30,153,B.1.1.7
OD968859-1,32,2021-01-30,153,B.1.1.7
OD969035-1,33,2021-01-29,152,B.1.1.7
OD969198-1,31,2021-01-29,152,B.1.1.7
OD969278-1,30,2021-01-28,151,B.1.1.7
OD969279-1,34,2021-01-28,151,B.1.1.7
OD969485-1,33,2021-01-30,153,B.1.1.7
OD969621-1,33,2021-02-03,157,B.1.1.7
OD969785-1,31,2021-01-30,153,B.1.1.7
OD969815-1,31,2021-01-30,153,B.1.1.7
OD970108-1,31,2021-02-05,159,B.1.1.7
OD970132-1,34,2021-02-04,158,B.1.1.7
OD970700-1,34,2021-02-04,158,B.1.1.7
OD970749-1,31,2021-02-04,158,B.1.1.7
OD971008-1,36,2021-02-03,157,B.1.1.7
OD971014-1,32,2021-02-03,157,B.1.1.7
OD971565-1,30,2021-02-06,160,B.1.1.7
OD971823-1,29,2021-02-03,157,B.1.1.7
OD971886-1,34,2021-02-04,158,B.1.1.7
OD971967-1,29,2021-02-03,157,B.1.1.7
OD972287-1,20,2021-01-12,135,B.1.177.9
OD972651-1,18,2021-01-18,141,B.1.177
OD972740-1,31,2021-01-30,153,B.1.1.7
OD972746-1,32,2021-01-29,152,B.1.1.7
OD972801-1,33,2021-01-29,152,B.1.1.7
OD972929-1,33,2021-02-01,155,B.1.1.7
OD972976-1,33,2021-02-04,158,B.1.1.7
OD973073-1,31,2021-02-04,158,B.1.1.7
OD973378-1,34,2021-01-31,154,B.1.1.7
OD973409-1,31,2021-01-27,150,B.1.1.7
OD973416-1,34,2021-02-01,155,B.1.1.7
OD973512-1,31,2021-02-03,157,B.1.1.7
OD973539-1,32,2021-02-02,156,B.1.1.7
OD973769-1,32,2021-01-31,154,B.1.1.7
OD973973-1,31,2021-01-30,153,B.1.1.7
OD974483-1,35,2021-01-28,151,B.1.1.7
OD974494-1,34,2021-01-30,153,B.1.1.7
OD974521-1,33,2021-01-30,153,B.1.1.7
OD974555-1,33,2021-01-30,153,B.1.1.7
OD974780-1,37,2021-01-26,149,B.1.1.7
OD974825-1,32,2021-01-27,150,B.1.1.7
OD974894-1,35,2021-01-29,152,B.1.1.7
OD975133-1,33,2021-01-26,149,B.1.1.7
OD975232-1,32,2021-01-27,150,B.1.1.7
OD975808-1,29,2021-01-25,148,B.1.1.7
OD975814-1,31,2021-01-25,148,B.1.1.7
OD975943-1,29,2021-01-25,148,B.1.1.7
OD976026-1,36,2021-01-22,145,B.1.1.7
OD976032-1,30,2021-01-21,144,B.1.1.7
OD976156-1,24,2021-01-25,148,B.1.177
OD976205-1,19,2020-11-21,83,B.1.177
OD976694-1,35,2021-01-24,147,B.1.1.7
OD976834-1,33,2021-01-20,143,B.1.1.7
OD976871-1,30,2021-01-20,143,B.1.1.7
OD977132-1,33,2021-01-20,143,B.1.1.7
OD977138-1,19,2021-01-21,144,B.1.177
OD977208-1,31,2021-01-22,145,B.1.1.7
OD977211-1,33,2021-01-22,145,B.1.1.7
OD977236-1,32,2021-01-22,145,B.1.1.7
OD977518-1,30,2021-01-19,142,B.1.1.7
OD978057-1,30,2021-01-15,138,B.1.1.7
OD978102-1,31,2021-01-17,140,B.1.1.7
OD978396-1,30,2021-01-16,139,B.1.1.7
OD979109-1,19,2021-01-19,142,B.1.177.10
OD979173-1,32,2021-01-19,142,B.1.1.7
OD979404-1,31,2021-01-17,140,B.1.1.7
OD979608-1,32,2021-02-09,163,B.1.1.7
OD980199-1,34,2021-02-04,158,B.1.1.7
OD980856-1,29,2021-02-01,155,B.1.1.7
OD980862-1,31,2021-02-01,155,B.1.1.7
OD980960-1,36,2021-02-01,155,B.1.1.7
OD981102-1,31,2021-02-06,160,B.1.1.7
OD981349-1,28,2021-02-04,158,B.1.1.7
OD981459-1,33,2021-02-05,159,B.1.1.7
OD982129-1,31,2021-02-02,156,B.1.1.7
OD982208-1,30,2021-02-05,159,B.1.1.7
OD982382-1,35,2021-01-20,143,B.1.1.7
OD982395-1,35,2021-01-21,144,B.1.1.7
OD982787-1,30,2021-02-09,163,B.1.1.7
OD982945-1,30,2021-02-10,164,B.1.1.7
OD983670-1,30,2021-02-07,161,B.1.1.7
OD984266-1,37,2021-02-11,165,B.1.1.7
OD984299-1,38,2021-02-11,165,B.1.1.7
OD984316-1,32,2021-02-10,164,B.1.1.7
OD984429-1,35,2021-02-08,162,B.1.1.7
OD984714-1,34,2021-02-05,159,B.1.1.7
OD984925-1,37,2021-02-13,167,B.1.1.7
OD985234-1,34,2021-02-13,167,B.1.1.7
OD985361-1,32,2021-02-02,156,B.1.1.7
OD985379-1,35,2021-02-10,164,B.1.1.7
OD985694-1,31,2021-02-08,162,B.1.1.7
OD985957-1,31,2021-02-12,166,B.1.1.7
OD986015-1,34,2021-02-12,166,B.1.1.7
OD986103-1,33,2021-02-12,166,B.1.1.7
OD986125-1,37,2021-02-13,167,B.1.1.7
OD987508-1,31,2021-02-03,157,B.1.1.7
OD987542-1,33,2021-01-31,154,B.1.1.7
OD988379-1,29,2021-02-12,166,B.1.1.7
OD989222-1,31,2021-02-09,163,B.1.1.7
OD989295-1,32,2021-02-02,156,B.1.1.7
OD989861-1,32,2021-02-02,156,B.1.1.7
OD989900-1,32,2021-01-27,150,B.1.1.7
OD990069-1,33,2021-01-27,150,B.1.1.7
OD990117-1,34,2021-01-27,150,B.1.1.7
OD990276-1,31,2021-01-29,152,B.1.1.7
OD990500-1,29,2021-01-30,153,B.1.1.7
OD991009-1,31,2021-02-10,164,B.1.1.7
OD991021-1,37,2021-02-13,167,B.1.1.7
OD991156-1,35,2021-02-07,161,B.1.1.7
OD991250-1,35,2021-02-02,156,B.1.1.7
OD991307-1,21,2021-02-10,164,B.1.177.15
OD991414-1,31,2021-02-15,169,B.1.1.7
OD991432-1,33,2021-02-15,169,B.1.1.7
OD994005-1,35,2021-02-14,168,B.1.1.7
OD994544-1,35,2021-02-15,169,B.1.1.7
OD994781-1,23,2021-02-11,165,AA.4
OD994964-1,32,2021-02-15,169,B.1.1.7
OD995177-1,35,2021-02-14,168,B.1.1.7
OD995180-1,32,2021-02-14,168,B.1.1.7
OD995218-1,33,2021-02-14,168,B.1.1.7
OD995376-1,30,2021-02-15,169,B.1.1.7
OD995507-1,20,2021-02-02,156,B.1.177.58
OD995546-1,32,2021-02-14,168,B.1.1.7
OD995677-1,33,2021-02-14,168,B.1.1.7
OD995782-1,34,2021-02-12,166,B.1.1.7
OD995811-1,34,2021-02-15,169,B.1.1.7
OD995819-1,33,2021-02-15,169,B.1.1.7
